time,open,high,low,close,VWAP,RTH VWAP
2002-04-05,12388,12482,12364,12432,12426,
2002-04-08,12419,12422,12247,12410,12359.666666666666,
2002-04-09,12432,12453,12347,12364,12388,
2002-04-10,12371,12541,12357,12525,12474.333333333334,
2002-04-11,12520,12520,12300,12312,12377.333333333334,
2002-04-12,12352,12382,12282,12336,12333.333333333334,
2002-04-15,12338,12372,12210,12235,12272.333333333334,
2002-04-16,12283,12486,12274,12446,12402,
2002-04-17,12451,12480,12327,12370,12392.333333333334,
2002-04-18,12380,12414,12182,12317,12304.333333333334,
2002-04-19,12282,12416,12282,12394,12364,
2002-04-22,12389,12405,12253,12277,12311.666666666666,
2002-04-23,12290,12319,12207,12237,12254.333333333334,
2002-04-24,12257,12303,12157,12162,12207.333333333334,
2002-04-25,12157,12187,12061,12184,12144,
2002-04-26,12178,12219,12002,12007,12076,
2002-04-29,12049,12075,11948,11960,11994.333333333334,
2002-04-30,11978,12145,11959,12072,12058.666666666664,
2002-05-01,12105,12223,11962,12212,12132.333333333334,
2002-05-02,12218,12256,12171,12232,12219.666666666666,
2002-05-03,12216,12250,12062,12128,12146.666666666666,
2002-05-06,12146,12160,11923,11932,12005,
2002-05-07,11942,12062,11932,11942,11978.666666666666,
2002-05-08,12017,12290,12013,12257,12186.666666666666,
2002-05-09,12269,12276,12150,12175,12200.333333333334,
2002-05-10,12075,12075,12072,12072,12073,
2002-05-13,12080,12253,12057,12247,12185.666666666666,
2002-05-14,12252,12439,12231,12433,12367.666666666666,
2002-05-15,12433,12491,12362,12407,12420,
2002-05-16,12409,12461,12370,12435,12422,
2002-05-17,12475,12506,12398,12479,12461,
2002-05-20,12477,12477,12352,12382,12403.666666666666,
2002-05-21,12374,12427,12229,12265,12307,
2002-05-22,12277,12301,12204,12294,12266.333333333334,
2002-05-23,12269,12370,12228,12362,12320,
2002-05-24,12363,12387,12227,12235,12283,
2002-05-28,12267,12285,12107,12145,12179,
2002-05-29,12137,12140,12057,12067,12088,
2002-05-30,12082,12109,11943,12063,12038.333333333334,
2002-05-31,12077,12189,12031,12047,12089,
2002-06-03,12041,12132,11820,11825,11925.666666666666,
2002-06-04,11842,11892,11735,11842,11823,
2002-06-05,11877,11954,11830,11947,11910.333333333334,
2002-06-06,11942,11963,11652,11772,11795.666666666666,
2002-06-07,11688,11783,11610,11732,11708.333333333334,
2002-06-10,11756,11860,11702,11796,11786,
2002-06-11,11784,11906,11647,11667,11740,
2002-06-12,11688,11775,11590,11764,11709.666666666666,
2002-06-13,11794,11797,11630,11656,11694.333333333334,
2002-06-14,11647,11647,11392,11622,11553.666666666666,
2002-06-17,11632,11837,11622,11822,11760.333333333336,
2002-06-18,11822,11902,11767,11897,11855.333333333334,
2002-06-19,11862,11878,11674,11702,11751.333333333334,
2002-06-20,11717,11737,11561,11570,11622.666666666666,
2002-06-21,11562,11622,11347,11409,11459.333333333334,
2002-06-24,11412,11524,11212,11452,11396,
2002-06-25,11480,11547,11242,11247,11345.333333333334,
2002-06-26,11142,11313,11006,11257,11192,
2002-06-27,11282,11420,11167,11408,11331.666666666666,
2002-06-28,11431,11502,11364,11372,11412.666666666666,
2002-07-01,11367,11466,11230,11238,11311.333333333334,
2002-07-02,11218,11283,11100,11152,11178.333333333334,
2002-07-03,11167,11212,11035,11189,11145.333333333334,
2002-07-05,11194,11554,11192,11534,11426.666666666666,
2002-07-08,11535,11535,11379,11420,11444.666666666666,
2002-07-09,11437,11466,11219,11240,11308.333333333334,
2002-07-10,11238,11314,10917,10937,11056,
2002-07-11,10945,11000,10739,10939,10892.666666666666,
2002-07-12,10972,11021,10732,10790,10847.666666666666,
2002-07-15,10778,10831,10374,10804,10669.666666666666,
2002-07-16,10804,10806,10537,10615,10652.666666666666,
2002-07-17,10581,10863,10544,10667,10691.333333333334,
2002-07-18,10662,10772,10483,10507,10587.333333333334,
2002-07-19,10493,10498,10090,10140,10242.666666666666,
2002-07-22,10062,10255,9840,9927,10007.333333333334,
2002-07-23,9957,10092,9788,9840,9906.666666666666,
2002-07-24,9827,10372,9602,10347,10107,
2002-07-25,10342,10448,10060,10312,10273.333333333334,
2002-07-26,10312,10415,10226,10409,10350,
2002-07-29,10432,10853,10419,10807,10693,
2002-07-30,10787,10899,10672,10836,10802.333333333334,
2002-07-31,10802,10912,10665,10847,10808,
2002-08-01,10829,10848,10594,10620,10687.333333333334,
2002-08-02,10602,10635,10327,10442,10468,
2002-08-05,10437,10444,10153,10179,10258.666666666666,
2002-08-06,10164,10555,10122,10427,10368,
2002-08-07,10467,10602,10347,10582,10510.333333333334,
2002-08-08,10582,10851,10556,10837,10748,
2002-08-09,10817,10933,10704,10867,10834.666666666666,
2002-08-12,10863,10863,10709,10812,10794.666666666666,
2002-08-13,10817,10880,10596,10622,10699.333333333334,
2002-08-14,10624,10893,10492,10862,10749,
2002-08-15,10862,11000,10824,10949,10924.333333333334,
2002-08-16,10917,10979,10847,10907,10911,
2002-08-19,10972,11139,10842,11109,11030,
2002-08-20,11093,11116,10957,11027,11033.333333333334,
2002-08-21,11026,11127,10941,11117,11061.666666666666,
2002-08-22,11129,11223,11069,11182,11158,
2002-08-23,11217,11217,10965,11010,11064,
2002-08-26,11017,11097,10895,11052,11014.666666666666,
2002-08-27,11042,11166,10921,10977,11021.333333333334,
2002-08-28,10987,10996,10781,10824,10867,
2002-08-29,10832,10886,10699,10795,10793.333333333336,
2002-08-30,10792,10926,10736,10775,10812.333333333334,
2002-09-03,10710,10722,10431,10440,10531,
2002-09-04,10439,10597,10421,10532,10516.666666666666,
2002-09-05,10520,10528,10351,10455,10444.666666666666,
2002-09-06,10434,10622,10434,10575,10543.666666666666,
2002-09-09,10570,10701,10455,10634,10596.666666666666,
2002-09-10,10640,10770,10638,10762,10723.333333333334,
