time,open,high,low,close,VWAP,RTH VWAP
1/5/1970,888.375,888.5,887.875,888,,
1/6/1970,888.125,888.375,887.75,888.25,,
1/7/1970,888.625,888.875,888.375,888.75,,
1/8/1970,889.125,889.5,888.875,889.375,,
1/9/1970,889.125,889.125,888.5,888.5,,
1/12/1970,888.375,889.125,888,888.875,,
1/13/1970,889.125,889.5,888.375,888.5,,
1/14/1970,888.5,889,888.375,888.75,,
1/15/1970,888.75,889.125,888.625,889,,
1/16/1970,889.25,889.5,888.75,889.25,,
1/19/1970,889.125,890,889.125,889.75,,
1/20/1970,890,890.125,889.375,889.375,,
1/21/1970,889.375,889.625,889.125,889.25,,
1/22/1970,889.25,889.625,889.25,889.375,,
1/23/1970,889.75,889.875,889.125,889.25,,
1/26/1970,888.875,888.875,888.25,888.25,,
1/27/1970,887.875,888.125,887.75,887.75,,
1/28/1970,887.875,888.5,887.75,888.25,,
1/29/1970,888.375,888.875,887.75,887.75,,
1/30/1970,888,888.125,887.875,888,,
2/2/1970,888.25,889.125,888.25,888.875,,
2/3/1970,888.875,889,888.125,888.125,,
2/4/1970,888,888.375,887.875,888.125,,
2/5/1970,888,888.375,887.75,888.375,,
2/6/1970,888.25,888.375,888,888.125,,
2/9/1970,888.125,888.375,887.75,888.25,,
2/10/1970,888.5,888.5,888,888.5,,
2/11/1970,888.25,888.875,888,888.75,,
2/12/1970,889.5,889.625,888.875,889.625,,
2/13/1970,889.375,889.625,888.875,889,,
2/16/1970,889.25,889.875,889.125,889.625,,
2/17/1970,889.625,889.75,888.875,889,,
2/18/1970,889.125,890.5,889,890.5,,
2/19/1970,890.5,890.5,890,890.125,,
2/20/1970,890,890.75,889.875,890.25,,
2/24/1970,890.375,890.875,889.625,889.625,,
2/25/1970,889.25,889.625,889,889.375,,
2/26/1970,889.25,889.25,888.75,888.875,,
2/27/1970,889,889.875,889,889.625,,
3/2/1970,889.625,889.625,888.875,888.875,,
3/3/1970,889.25,889.25,888.875,889,,
3/4/1970,889.125,889.125,888.875,889,,
3/5/1970,889,889.25,888.875,889.125,,
3/6/1970,889.25,889.875,889.125,889.5,,
3/9/1970,889.375,889.375,889,889.125,,
3/10/1970,888.875,889.125,888.75,889,,
3/11/1970,889,889.125,888.75,889,,
3/12/1970,888.875,889.25,888.875,889,,
3/13/1970,889,889.125,888.875,888.875,,
3/16/1970,888.875,889.875,888.75,889.25,,
3/17/1970,889.125,889.5,889.125,889.5,,
3/18/1970,889.5,889.5,889.125,889.25,,
3/19/1970,889.375,889.625,888.375,888.625,,
3/20/1970,888.625,888.875,888.5,888.75,,
3/23/1970,889,889.5,888.75,889,,
3/24/1970,888.75,888.875,888.625,888.625,,
3/25/1970,888.75,888.875,888.5,888.875,,
3/26/1970,889.125,889.375,888.875,889.25,,
3/30/1970,889.125,889.125,888.75,888.875,,
3/31/1970,889,889,888.75,889,,
