time,open,high,low,close,VWAP,RTH VWAP
1970-01-05,-474.19999999999936,-474.19999999999936,-475.39999999999935,-474.9999999999993,,
1970-01-06,-475.29999999999933,-475.29999999999933,-476.19999999999936,-476.09999999999934,,
1970-01-07,-475.89999999999935,-474.89999999999935,-476.09999999999934,-475.89999999999935,,
1970-01-08,-475.4999999999993,-475.09999999999934,-475.79999999999933,-475.4999999999993,,
1970-01-09,-474.9999999999993,-474.79999999999933,-475.39999999999935,-475.09999999999934,,
1970-01-12,-474.59999999999934,-473.59999999999934,-474.59999999999934,-473.69999999999936,,
1970-01-13,-473.09999999999934,-472.79999999999933,-473.4999999999993,-472.89999999999935,,
1970-01-14,-472.79999999999933,-472.29999999999933,-474.09999999999934,-472.29999999999933,,
1970-01-15,-472.09999999999934,-471.89999999999935,-473.39999999999935,-473.29999999999933,,
1970-01-16,-472.9999999999993,-471.29999999999933,-473.09999999999934,-471.59999999999934,,
1970-01-19,-470.69999999999936,-470.09999999999934,-471.09999999999934,-470.9999999999993,,
1970-01-20,-470.09999999999934,-469.09999999999934,-470.79999999999933,-470.59999999999934,,
1970-01-21,-470.59999999999934,-469.29999999999933,-470.59999999999934,-469.29999999999933,,
1970-01-22,-468.59999999999934,-467.59999999999934,-469.79999999999933,-469.09999999999934,,
1970-01-23,-469.39999999999935,-469.29999999999933,-470.9999999999993,-470.29999999999933,,
1970-01-26,-470.59999999999934,-470.59999999999934,-471.89999999999935,-471.79999999999933,,
1970-01-27,-471.59999999999934,-470.79999999999933,-471.79999999999933,-471.19999999999936,,
1970-01-28,-471.09999999999934,-470.4999999999993,-471.59999999999934,-471.39999999999935,,
1970-01-29,-471.09999999999934,-471.09999999999934,-472.29999999999933,-472.09999999999934,,
1970-01-30,-472.19999999999936,-471.59999999999934,-472.29999999999933,-471.79999999999933,,
1970-02-02,-471.59999999999934,-469.79999999999933,-471.59999999999934,-469.79999999999933,,
1970-02-03,-469.09999999999934,-468.59999999999934,-470.39999999999935,-470.29999999999933,,
1970-02-04,-470.29999999999933,-469.59999999999934,-470.79999999999933,-469.59999999999934,,
1970-02-05,-469.29999999999933,-469.29999999999933,-470.69999999999936,-470.59999999999934,,
1970-02-06,-469.79999999999933,-469.79999999999933,-470.79999999999933,-469.89999999999935,,
1970-02-09,-469.79999999999933,-469.79999999999933,-471.29999999999933,-470.59999999999934,,
1970-02-10,-470.79999999999933,-470.29999999999933,-471.39999999999935,-471.29999999999933,,
1970-02-11,-471.59999999999934,-471.09999999999934,-471.89999999999935,-471.4999999999993,,
1970-02-12,-471.59999999999934,-470.79999999999933,-471.69999999999936,-470.9999999999993,,
1970-02-13,-470.59999999999934,-470.39999999999935,-471.09999999999934,-471.09999999999934,,
1970-02-16,-471.09999999999934,-470.19999999999936,-471.39999999999935,-470.19999999999936,,
1970-02-17,-470.19999999999936,-469.19999999999936,-470.19999999999936,-469.39999999999935,,
1970-02-18,-469.19999999999936,-468.19999999999936,-469.19999999999936,-468.19999999999936,,
1970-02-19,-468.19999999999936,-468.19999999999936,-469.69999999999936,-469.4999999999994,,
1970-02-20,-469.4999999999994,-468.4999999999994,-469.9999999999994,-468.59999999999934,,
1970-02-24,-468.59999999999934,-467.69999999999936,-468.59999999999934,-467.89999999999935,,
1970-02-25,-467.69999999999936,-467.69999999999936,-468.4999999999994,-468.19999999999936,,
1970-02-26,-468.39999999999935,-468.39999999999935,-469.9999999999994,-469.89999999999935,,
1970-02-27,-469.89999999999935,-469.09999999999934,-470.19999999999936,-469.7999999999994,,
1970-03-02,-470.09999999999934,-469.89999999999935,-470.7999999999994,-470.4999999999994,,
1970-03-03,-470.69999999999936,-470.2999999999994,-471.19999999999936,-470.9999999999994,,
1970-03-04,-470.9999999999994,-470.59999999999934,-471.39999999999935,-471.39999999999935,,
1970-03-05,-471.39999999999935,-471.39999999999935,-472.7999999999994,-472.69999999999936,,
1970-03-06,-472.9999999999994,-472.7999999999994,-474.19999999999936,-473.4999999999994,,
1970-03-09,-473.19999999999936,-472.9999999999994,-473.89999999999935,-473.7999999999994,,
1970-03-10,-473.69999999999936,-473.09999999999934,-473.89999999999935,-473.09999999999934,,
1970-03-11,-472.9999999999994,-472.4999999999994,-473.4999999999994,-473.39999999999935,,
1970-03-12,-473.2999999999994,-472.69999999999936,-473.2999999999994,-473.2999999999994,,
1970-03-13,-473.09999999999934,-472.19999999999936,-473.2999999999994,-473.19999999999936,,
1970-03-16,-473.19999999999936,-472.4999999999994,-473.19999999999936,-472.59999999999934,,
1970-03-17,-472.4999999999994,-472.39999999999935,-472.9999999999994,-472.89999999999935,,
1970-03-18,-473.19999999999936,-473.09999999999934,-473.69999999999936,-473.59999999999934,,
