time,open,high,low,close,VWAP,RTH VWAP
1968-12-05,-444.25,-444.25,-444.25,-444.25,,
1968-12-06,-444.5,-443.25,-444.5,-443.25,,
1968-12-09,-443.75,-443.75,-444.375,-444.375,,
1968-12-10,-444.25,-444.25,-444.25,-444.25,,
1968-12-11,-443.375,-443.25,-443.375,-443.375,,
1968-12-12,-443.125,-443,-443.125,-443,,
1968-12-13,-442.25,-442.25,-442.25,-442.25,,
1968-12-16,-442.5,-442.5,-442.5,-442.5,,
1968-12-17,-442.875,-442.875,-443.375,-443.125,,
1968-12-18,-443.25,-443.25,-443.25,-443.25,,
1968-12-19,-443,-443,-443.125,-443.125,,
1968-12-20,-441.875,-441.625,-441.875,-441.75,,
1968-12-23,-440.125,-440.125,-440.125,-440.125,,
1968-12-24,-442,-442,-442,-442,,
1968-12-26,-442,-441.75,-442,-441.75,,
1968-12-27,-441.75,-441.75,-441.75,-441.75,,
1968-12-30,-441.375,-441.375,-441.375,-441.375,,
1968-12-31,-441.25,-441.25,-441.375,-441.375,,
1969-01-02,-441.5,-441.5,-441.5,-441.5,,
1969-01-03,-441.625,-441.625,-441.625,-441.625,,
1969-01-06,-441,-441,-441,-441,,
1969-01-07,-440.75,-440.75,-440.75,-440.75,,
1969-01-08,-440.375,-438.625,-440.375,-438.625,,
1969-01-09,-439,-438.5,-439,-438.875,,
1969-01-10,-438.625,-438.625,-440.375,-439.75,,
1969-01-13,-441.25,-441.25,-443.75,-443.5,,
1969-01-14,-444,-442.75,-444,-443.75,,
1969-01-15,-443.375,-442.875,-443.375,-442.875,,
1969-01-16,-442.75,-442,-443.375,-442.125,,
1969-01-17,-441.75,-441.75,-442.75,-442.5,,
1969-01-20,-443.125,-442.5,-443.25,-442.5,,
1969-01-21,-442.5,-442.375,-442.75,-442.5,,
1969-01-22,-442.125,-442.125,-442.375,-442.375,,
1969-01-23,-441.5,-441.375,-441.875,-441.5,,
1969-01-24,-441.75,-441.25,-441.875,-441.75,,
1969-01-27,-441.875,-441.875,-442.25,-442.25,,
1969-01-28,-442.5,-442.5,-442.625,-442.5,,
1969-01-29,-442.25,-442.25,-442.75,-442.5,,
1969-01-30,-442.875,-442.5,-442.875,-442.5,,
1969-01-31,-442.375,-442.125,-442.625,-442.25,,
1969-02-03,-442.5,-442.5,-442.75,-442.75,,
1969-02-04,-442.625,-442.375,-442.75,-442.375,,
1969-02-05,-442.375,-442.25,-442.625,-442.375,,
1969-02-06,-442.375,-442.25,-442.375,-442.25,,
1969-02-07,-442.375,-442.375,-442.875,-442.625,,
1969-02-10,-443.25,-443.25,-443.5,-443.25,,
1969-02-11,-443.25,-443.125,-443.5,-443.375,,
1969-02-12,-443.375,-443.25,-443.5,-443.25,,
1969-02-13,-443.5,-442.875,-443.5,-443.125,,
1969-02-14,-443.25,-443.25,-444.625,-444.5,,
1969-02-17,-444.125,-444.125,-445.25,-445,,
1969-02-18,-445.125,-444.875,-445.5,-444.875,,
1969-02-19,-445,-443.875,-445.125,-443.875,,
1969-02-20,-444.5,-444.125,-444.625,-444.5,,
1969-02-24,-444.625,-444.5,-445.125,-444.75,,
1969-02-25,-444.875,-444.75,-445.125,-445,,
1969-02-26,-444.875,-444.875,-445.25,-445.25,,
1969-02-27,-445.125,-445,-445.25,-445,,
1969-02-28,-445,-443.25,-445,-444.125,,
1969-03-03,-444.25,-444.25,-445,-445,,
1969-03-04,-445,-444.375,-445.125,-444.5,,
1969-03-05,-445.875,-445.75,-447.25,-446.625,,
1969-03-06,-446.75,-446.375,-447.625,-447,,
1969-03-07,-448.5,-447.25,-448.5,-447.375,,
1969-03-10,-447.5,-447.5,-448.25,-448.125,,
1969-03-11,-448.25,-448,-448.25,-448.125,,
1969-03-12,-448.125,-447.625,-448.375,-448.375,,
1969-03-13,-448.5,-448.5,-449.75,-448.875,,
1969-03-14,-449.5,-449,-449.5,-449.25,,
1969-03-17,-450.25,-450.125,-450.75,-450.375,,
1969-03-18,-450.5,-450.25,-451.125,-450.5,,
1969-03-19,-450.5,-450.25,-450.625,-450.5,,
1969-03-20,-450.5,-450.125,-450.5,-450.125,,
1969-03-21,-450.375,-450.25,-450.5,-450.25,,
1969-03-24,-450.5,-450,-450.5,-450.125,,
1969-03-25,-449.875,-449.25,-450,-449.25,,
1969-03-26,-449,-448.625,-449.5,-449.5,,
1969-03-27,-449.25,-449,-449.375,-449.25,,
1969-03-28,-449.125,-448.25,-449.125,-448.25,,
1969-04-01,-448.75,-448.625,-448.875,-448.75,,
1969-04-02,-449,-449,-449.75,-449.75,,
1969-04-03,-449.75,-449.25,-449.75,-449.25,,
1969-04-07,-449.625,-448.875,-449.75,-449,,
1969-04-08,-449.25,-448.5,-449.375,-448.5,,
1969-04-09,-448.375,-448.375,-448.875,-448.5,,
1969-04-10,-448.75,-448.5,-448.875,-448.5,,
1969-04-11,-448.75,-448.5,-449,-448.625,,
1969-04-14,-449,-448.75,-449.25,-449.25,,
1969-04-15,-448.75,-448.75,-449.375,-448.75,,
1969-04-16,-449,-448.25,-449.25,-448.375,,
1969-04-17,-448.5,-448.5,-449.25,-448.625,,
1969-04-18,-449,-448.75,-449,-448.75,,
1969-04-21,-449.375,-449,-449.375,-449,,
1969-04-22,-449,-449,-449.625,-449.5,,
1969-04-23,-449.5,-449,-449.75,-449.125,,
1969-04-24,-449.125,-448.75,-449.125,-448.75,,
1969-04-25,-449.125,-447.875,-449.125,-448.25,,
1969-04-28,-448.375,-447.5,-448.5,-447.75,,
1969-04-29,-447.75,-447.75,-448.375,-448.125,,
1969-04-30,-448.25,-447.875,-448.375,-448.25,,
1969-05-01,-448.375,-448,-448.375,-448,,
1969-05-02,-447.875,-447.25,-447.875,-447.375,,
1969-05-05,-447.25,-446.75,-447.75,-447,,
1969-05-06,-447,-446.125,-447,-446.375,,
1969-05-07,-446.125,-445.75,-446.875,-446.875,,
1969-05-08,-447.375,-446.875,-447.5,-447.25,,
1969-05-09,-447.625,-447.25,-447.75,-447.25,,
1969-05-12,-447.5,-446.875,-447.5,-446.875,,
1969-05-13,-446.875,-446.5,-447,-446.75,,
1969-05-14,-446.625,-446.25,-446.625,-446.25,,
1969-05-15,-446.625,-446,-446.625,-446.25,,
1969-05-16,-446.25,-446,-446.25,-446.25,,
1969-05-19,-446.25,-446,-446.375,-446.25,,
1969-05-20,-446.125,-446.125,-447,-446.5,,
1969-05-21,-447,-446,-447.25,-446.5,,
1969-05-22,-446.375,-446,-446.625,-446.375,,
1969-05-23,-446.875,-446.75,-447.625,-447.5,,
1969-05-26,-448.375,-447.875,-448.625,-448.625,,
1969-05-27,-448.625,-448,-448.625,-448,,
1969-05-28,-448.5,-448.25,-448.5,-448.25,,
1969-05-29,-449,-449,-450.125,-449.25,,
1969-06-02,-449.625,-449,-449.625,-449.125,,
1969-06-03,-449.5,-449.5,-449.75,-449.75,,
1969-06-04,-450,-449.875,-450.125,-450,,
1969-06-05,-450.125,-449.5,-450.125,-449.5,,
1969-06-06,-449.625,-449.125,-449.75,-449.25,,
1969-06-09,-449.625,-448,-449.625,-448.5,,
1969-06-10,-449,-448.625,-449,-449,,
1969-06-11,-449,-448,-449.5,-448.25,,
1969-06-12,-448.375,-447,-448.5,-447.5,,
1969-06-13,-447.375,-446.75,-447.75,-447.5,,
1969-06-16,-447.75,-447.5,-448.125,-448,,
1969-06-17,-448.25,-447.875,-448.375,-448,,
1969-06-18,-448,-447.125,-448,-447.125,,
1969-06-19,-447,-446.75,-447.75,-447.5,,
1969-06-20,-447.625,-447.25,-447.75,-447.5,,
1969-06-23,-447.5,-447,-447.5,-447.25,,
1969-06-24,-447.125,-447.125,-447.875,-447.75,,
1969-06-25,-447.75,-447.25,-448.125,-447.25,,
1969-06-26,-447.625,-447.5,-448,-448,,
1969-06-27,-448.5,-448.125,-448.625,-448.375,,
1969-06-30,-448.625,-447.5,-448.625,-447.75,,
1969-07-01,-448,-446.75,-448,-447.75,,
1969-07-02,-447.75,-447.125,-447.75,-447.75,,
1969-07-03,-447.875,-447,-447.875,-447,,
1969-07-07,-446.625,-445.25,-446.625,-445.625,,
1969-07-08,-445.5,-445.5,-446.875,-446.625,,
1969-07-09,-446.875,-446.25,-446.875,-446.25,,
1969-07-10,-446.375,-446.25,-446.875,-446.75,,
1969-07-11,-446.375,-446.125,-446.75,-446.5,,
1969-07-14,-446,-444,-446,-444.75,,
1969-07-15,-444.75,-444,-444.875,-444.25,,
1969-07-16,-444.5,-444.5,-445,-444.5,,
1969-07-17,-444.125,-443.625,-444.5,-443.875,,
1969-07-18,-444.25,-444.25,-445.5,-445,,
