time,open,high,low,close,VWAP,RTH VWAP
1970-01-05,2165.75,2165.875,2164,2164.5,,
1970-01-06,2164,2165.375,2163.875,2165.125,,
1970-01-07,2165.375,2166.25,2165.25,2166,,
1970-01-08,2166,2166.5,2165.75,2165.875,,
1970-01-09,2165.75,2165.875,2164.625,2164.75,,
1970-01-12,2164.125,2164.375,2162.625,2163.5,,
1970-01-13,2163.75,2164.125,2163.75,2164,,
1970-01-14,2163.875,2164.375,2163.875,2164,,
1970-01-15,2163.875,2164.125,2163.125,2163.375,,
1970-01-16,2163.125,2163.875,2163.125,2163.375,,
1970-01-19,2163.625,2164.125,2163.625,2163.75,,
1970-01-20,2163.75,2165.625,2163.75,2165.625,,
1970-01-21,2165.5,2165.5,2164.375,2164.375,,
1970-01-22,2164.375,2164.875,2163.625,2164.625,,
1970-01-23,2164.625,2164.75,2164,2164.375,,
1970-01-26,2164.25,2164.375,2162.625,2162.875,,
1970-01-27,2162.375,2162.625,2161.75,2162.25,,
1970-01-28,2162.125,2162.75,2161.875,2162.625,,
1970-01-29,2162.5,2163.125,2162.5,2162.75,,
1970-01-30,2162.625,2163.125,2162.5,2162.875,,
1970-02-02,2162.5,2162.875,2162,2162.75,,
1970-02-03,2162.75,2163.5,2162.75,2163.25,,
1970-02-04,2163.375,2163.375,2162.5,2163.125,,
1970-02-05,2162.875,2163.625,2162.625,2163.25,,
1970-02-06,2163.375,2164.125,2163.375,2163.75,,
1970-02-09,2163.875,2165.875,2163.875,2165.75,,
1970-02-10,2166.625,2167.25,2166.25,2167,,
1970-02-11,2167.625,2169.125,2167.625,2168.875,,
1970-02-12,2169.625,2169.75,2168.625,2168.75,,
1970-02-13,2168.625,2169.625,2168.125,2169,,
1970-02-16,2169.25,2171.75,2169.25,2171.25,,
1970-02-17,2171.625,2171.625,2170.375,2171,,
1970-02-18,2171.875,2173,2171.75,2172.875,,
1970-02-19,2173.125,2173.125,2170.875,2172.125,,
1970-02-20,2172,2172.75,2171.5,2172.5,,
1970-02-24,2172.625,2173.625,2172.375,2172.5,,
1970-02-25,2172.625,2172.75,2171.125,2171.625,,
1970-02-26,2171.875,2172.25,2170.875,2171.5,,
1970-02-27,2171.75,2172.5,2170.875,2171.125,,
1970-03-02,2170.625,2171.625,2169.875,2170.125,,
1970-03-03,2170.25,2170.5,2169.625,2169.875,,
1970-03-04,2169.75,2171.125,2169.625,2170.625,,
1970-03-05,2170.75,2171.25,2170.25,2170.5,,
1970-03-06,2170.375,2171,2170.125,2170.25,,
1970-03-09,2170.125,2170.25,2169,2169,,
1970-03-10,2168.875,2169.75,2168.75,2169.125,,
1970-03-11,2169.25,2171.375,2169.25,2171.25,,
1970-03-12,2171.875,2172.125,2170.75,2171,,
1970-03-13,2170.875,2171.125,2170.5,2171,,
1970-03-16,2170.625,2171.5,2170.375,2171.25,,
1970-03-17,2170.75,2170.875,2168.25,2168.25,,
1970-03-18,2168,2168.75,2167.375,2167.5,,
1970-03-19,2167.625,2168.625,2167.625,2168.125,,
1970-03-20,2167.75,2167.875,2166.75,2167.125,,
1970-03-23,2166.875,2168.75,2166.875,2168.5,,
1970-03-24,2168.625,2168.75,2168.25,2168.25,,
