time,open,high,low,close,VWAP,RTH VWAP
9/9/1997,1756,1763.5,1755,1756.25,1758.25,
9/10/1997,1756,1756.5,1736.75,1737.5,1743.583333,
9/11/1997,1738.25,1739.75,1722.75,1730.75,1731.083333,
9/12/1997,1730.25,1748.5,1726.25,1746.25,1740.333333,
9/15/1997,1746,1752.25,1741.5,1744,1745.916667,
9/16/1997,1743.75,1772.5,1742.75,1768.5,1761.25,
9/17/1997,1768.5,1775,1764,1768.5,1769.166667,
9/18/1997,1768.25,1783,1767.25,1770.25,1773.5,
9/19/1997,1770.25,1775.75,1765.5,1773,1771.416667,
9/22/1997,1772.75,1784.5,1772.75,1778.75,1778.666667,
9/23/1997,1777.75,1779.75,1769,1774.5,1774.416667,
9/24/1997,1774,1783,1764.5,1767,1771.5,
9/25/1997,1766.25,1770,1758,1759,1762.333333,
9/26/1997,1758.75,1769,1758.75,1765.75,1764.5,
9/29/1997,1765.75,1777,1762.75,1774.25,1771.333333,
9/30/1997,1773.5,1777.75,1765.25,1767,1770,
10/1/1997,1768,1779,1767,1776,1774,
10/2/1997,1775.75,1782,1773.5,1781.5,1779,
10/3/1997,1781.75,1798,1774.25,1788,1786.75,
10/6/1997,1789.25,1796.25,1789,1794,1793.083333,
10/7/1997,1794,1804.75,1790,1802,1798.916667,
10/8/1997,1802,1804.25,1787.25,1794.75,1795.416667,
10/9/1997,1794.75,1795.75,1781.75,1790.5,1789.333333,
10/10/1997,1791.25,1793.5,1776.5,1789.25,1786.416667,
10/13/1997,1789.25,1794.25,1786.5,1788.75,1789.833333,
10/14/1997,1788.75,1794,1781,1790,1788.333333,
10/15/1997,1788.25,1789.25,1780.5,1786,1785.25,
10/16/1997,1786,1793.75,1767.75,1772.25,1777.916667,
10/17/1997,1771.5,1772.5,1748,1761.25,1760.583333,
10/20/1997,1776,1776,1774.75,1774.75,1775.166667,
10/21/1997,1776.75,1793,1776.75,1792,1787.25,
10/22/1997,1791.5,1793,1783,1786.75,1787.583333,
10/23/1997,1785.5,1786.75,1760,1768,1771.583333,
10/24/1997,1768.5,1781.5,1754,1756.5,1764,
10/27/1997,1755,1756.5,1686.5,1686.5,1709.833333,
10/28/1997,1674.5,1745.5,1656.5,1737,1713,
10/29/1997,1737,1754.5,1728.75,1737,1740.083333,
10/30/1997,1737,1741,1714.5,1715.5,1723.666667,
10/31/1997,1714.5,1738.75,1702.25,1736.5,1725.833333,
11/3/1997,1736.25,1760.5,1733.75,1758.25,1750.833333,
11/4/1997,1758.5,1759.25,1748.75,1758.25,1755.416667,
11/5/1997,1754,1768.5,1750.75,1759.5,1759.583333,
11/6/1997,1759,1760,1749.75,1754.75,1754.833333,
11/7/1997,1754.75,1755.5,1729,1743.75,1742.75,
11/10/1997,1742.5,1753,1735.25,1738.75,1742.333333,
11/11/1997,1738.5,1742.25,1736.75,1739,1739.333333,
11/12/1997,1739,1742,1718,1720.75,1726.916667,
11/13/1997,1719.5,1735,1715,1731.75,1727.25,
11/14/1997,1732.5,1745,1732.5,1745,1740.833333,
11/17/1997,1744.5,1767,1744.5,1762.5,1758,
11/18/1997,1762.5,1767,1752.5,1755,1758.166667,
11/19/1997,1754.75,1764,1748.75,1760.25,1757.666667,
11/20/1997,1760.5,1778,1759.5,1775.5,1771,
11/21/1997,1775,1783.5,1770,1782,1778.5,
11/24/1997,1781,1781.5,1759.5,1762.25,1767.75,
11/25/1997,1762.5,1770,1757.25,1764.25,1763.833333,
11/26/1997,1764.5,1772.25,1761.25,1767.5,1767,
11/28/1997,1767.25,1774.75,1766.25,1767.5,1769.5,
12/1/1997,1768,1792,1768,1792,1784,
12/2/1997,1792.5,1794.5,1784.5,1787.5,1788.833333,
12/3/1997,1787.25,1793.75,1781.5,1790,1788.416667,
12/4/1997,1790,1798.25,1785,1789.5,1790.916667,
12/5/1997,1788.75,1801.5,1775.5,1799,1792,
12/8/1997,1799,1802.25,1793,1797,1797.416667,
12/9/1997,1797.25,1798.75,1787,1791.5,1792.416667,
12/10/1997,1791.25,1792.25,1776,1782.75,1783.666667,
12/11/1997,1782.25,1782.75,1763.75,1767,1771.166667,
12/12/1997,1761,1777.5,1759.25,1768,1768.25,
12/15/1997,1768.25,1780,1762,1775.75,1772.583333,
12/16/1997,1775,1787.25,1774.75,1782,1781.333333,
12/17/1997,1781.75,1789.5,1776,1777,1780.833333,
12/18/1997,1776.75,1778,1762,1766.5,1768.833333,
12/19/1997,1765.5,1765.5,1759,1759,1761.166667,
12/22/1997,1758.25,1764.25,1758.25,1764.25,1762.25,
12/23/1997,1764.25,1766.5,1745.5,1746.5,1752.833333,
12/24/1997,1746.25,1755,1743,1743.75,1747.25,
12/26/1997,1745.5,1751,1744.5,1747.5,1747.666667,
12/29/1997,1747,1768,1742.75,1767.25,1759.333333,
