time,open,high,low,close,VWAP,RTH VWAP
5/6/2014,3067.5,3067.5,3038,3048.5,3051.333333,
5/7/2014,3024,3024,3024,3024,,
5/8/2014,3005,3022,3005,3016.75,3014.583333,
5/9/2014,3008,3008,2981.5,2981.5,2990.333333,
5/12/2014,2962.5,2962.5,2962.5,2962.5,,
5/13/2014,2959.5,2959.5,2959.5,2959.5,,
5/14/2014,2984.25,2984.25,2984.25,2984.25,,
5/15/2014,2989.75,2989.75,2989.75,2989.75,,
5/16/2014,2979.75,2979.75,2979.75,2979.75,,
5/19/2014,2987.25,2987.25,2987.25,2987.25,,
5/20/2014,2980.25,2980.25,2980.25,2980.25,,
5/21/2014,2980.25,2980.25,2980.25,2980.25,,
5/22/2014,3008,3008,3008,3008,3008,
5/23/2014,3021.5,3021.5,3021.5,3021.5,3021.5,
5/27/2014,3030.75,3030.75,3030.75,3030.75,3030.75,
5/28/2014,3045.25,3045.25,3045.25,3045.25,,
5/29/2014,3048.5,3048.5,3048.5,3048.5,3048.5,
5/30/2014,3041.75,3041.75,3041.75,3041.75,3041.75,
6/2/2014,3050,3050,3050,3050,3050,
6/3/2014,3052.75,3052.75,3052.5,3052.5,3052.583333,
6/4/2014,3043.75,3043.75,3043.75,3043.75,,
6/5/2014,3054.75,3054.75,3054.75,3054.75,3054.75,
6/6/2014,3077.25,3077.25,3077.25,3077.25,,
6/9/2014,3112,3112,3112,3112,,
6/10/2014,3112,3112,3112,3112,3112,
6/11/2014,3087.25,3087.25,3087.25,3087.25,3087.25,
6/12/2014,3048.5,3048.5,3048.5,3048.5,,
6/13/2014,3056.25,3056.25,3056.25,3056.25,,
6/16/2014,3078.75,3078.75,3078.75,3078.75,,
6/17/2014,3067,3067,3067,3067,,
6/18/2014,3079.25,3079.25,3079.25,3079.25,3079.25,
6/19/2014,3093.5,3093.5,3093.5,3093.5,3093.5,
6/20/2014,3089.25,3089.25,3089.25,3089.25,,
6/23/2014,3110.5,3110.5,3096.5,3096.5,3101.166667,
6/24/2014,3093.75,3108,3093.75,3108,3103.25,
6/25/2014,3108.75,3108.75,3108.75,3108.75,,
6/26/2014,3110,3110,3110,3110,3110,
6/27/2014,3101.5,3101.5,3101.5,3101.5,,
6/30/2014,3109.75,3109.75,3109.75,3109.75,3109.75,
7/1/2014,3100.25,3100.25,3100.25,3100.25,3100.25,
7/2/2014,3134.5,3134.5,3134.5,3134.5,,
7/3/2014,3147.25,3147.25,3147.25,3147.25,3147.25,
7/7/2014,3134.5,3134.5,3134.5,3134.5,3134.5,
7/8/2014,3147.25,3147.25,3147.25,3147.25,3147.25,
7/9/2014,3143,3143,3143,3143,,
7/10/2014,3139,3139,3139,3139,3139,
7/11/2014,3154.75,3154.75,3154.75,3154.75,,
7/14/2014,3156,3156,3156,3156,,
7/15/2014,3158.25,3158.25,3158.25,3158.25,,
7/16/2014,3175.25,3175.25,3175.25,3175.25,,
7/17/2014,3189.25,3189.25,3189.25,3189.25,,
7/18/2014,3192,3192,3192,3192,,
7/21/2014,3229.5,3229.5,3229.5,3229.5,,
7/22/2014,3250.25,3250.25,3250.25,3250.25,,
7/23/2014,3226.5,3248,3226.5,3226.5,3233.666667,
7/24/2014,3259,3259,3255.75,3255.75,3256.833333,
7/25/2014,3234.5,3234.5,3234.5,3234.5,,
7/28/2014,3245.25,3245.25,3245.25,3245.25,,
7/29/2014,3211.5,3211.5,3211.5,3211.5,3211.5,
7/30/2014,3245.25,3245.25,3245.25,3245.25,,
7/31/2014,3216.5,3216.5,3216.5,3216.5,3216.5,
8/1/2014,3203.25,3208,3203.25,3208,3206.416667,
8/4/2014,3250.75,3250.75,3250.75,3250.75,,
8/5/2014,3232.75,3232.75,3232.75,3232.75,,
8/6/2014,3244.5,3244.5,3244.5,3244.5,,
8/7/2014,3243.25,3243.25,3243.25,3243.25,3243.25,
8/8/2014,3240.25,3240.25,3240.25,3240.25,,
8/11/2014,3253.25,3253.25,3253.25,3253.25,,
8/12/2014,3257.25,3257.25,3257.25,3257.25,,
8/13/2014,3233.75,3233.75,3233.75,3233.75,,
8/14/2014,3198,3198,3198,3198,,
8/15/2014,3194.25,3194.25,3194.25,3194.25,,
8/18/2014,3212.5,3212.5,3212.5,3212.5,,
8/19/2014,3235.25,3235.25,3235.25,3235.25,,
8/20/2014,3272.75,3272.75,3272.75,3272.75,,
8/21/2014,3258.75,3258.75,3258.75,3258.75,,
8/22/2014,3274.75,3274.75,3274.75,3274.75,,
8/25/2014,3274.75,3274.75,3274.75,3274.75,,
8/26/2014,3329.75,3329.75,3317.75,3317.75,3321.75,
8/27/2014,3309.25,3321.75,3309.25,3321.75,3317.583333,
8/28/2014,3313.75,3313.75,3313.75,3313.75,3313.75,
8/29/2014,3330.25,3330.25,3330.25,3330.25,,
9/2/2014,3343.75,3343.75,3343.75,3343.75,3343.75,
9/3/2014,3328,3328,3328,3328,,
9/4/2014,3353.5,3353.5,3353.5,3353.5,,
9/5/2014,3339.25,3339.25,3339.25,3339.25,,
9/8/2014,3347.75,3347.75,3347.75,3347.75,3347.75,
9/9/2014,3319.5,3319.5,3319.5,3319.5,,
9/10/2014,3307.25,3307.25,3307.25,3307.25,3307.25,
9/11/2014,3299.25,3299.25,3297.75,3297.75,3298.25,
9/12/2014,3285.25,3285.25,3285.25,3285.25,3285.25,
9/15/2014,3244.5,3244.5,3244.5,3244.5,,
9/16/2014,3272.75,3272.75,3272.75,3272.75,,
9/17/2014,3242,3242,3242,3242,,
9/18/2014,3227.5,3227.5,3227.5,3227.5,,
9/19/2014,3222.75,3222.75,3222.75,3222.75,3222.75,
9/22/2014,3221,3221,3221,3221,,
9/23/2014,3214,3214.25,3214,3214,3214.083333,
9/24/2014,3214.25,3227.5,3214.25,3227.5,3223.083333,
9/25/2014,3214.25,3214.25,3205.5,3205.5,3208.416667,
9/26/2014,3204.25,3204.25,3204.25,3204.25,,
9/29/2014,3218,3218,3218,3218,,
9/30/2014,3210.75,3210.75,3210.75,3210.75,3210.75,
10/1/2014,3182,3182,3182,3182,3182,
10/2/2014,3146.25,3146.25,3146.25,3146.25,,
10/3/2014,3168.75,3168.75,3168.75,3168.75,3168.75,
10/6/2014,3180.5,3180.5,3180.5,3180.5,,
10/7/2014,3200.75,3200.75,3200.75,3200.75,,
10/8/2014,3188.75,3188.75,3188.75,3188.75,,
10/9/2014,3201,3201,3201,3201,,
10/10/2014,3184.75,3184.75,3184.75,3184.75,3184.75,
10/13/2014,3196.75,3196.75,3196.75,3196.75,3196.75,
10/14/2014,3201.25,3201.25,3201.25,3201.25,,
10/15/2014,3176.5,3176.5,3176.5,3176.5,,
10/16/2014,3164.75,3164.75,3164.75,3164.75,,
10/17/2014,3222.25,3222.25,3222.25,3222.25,3222.25,
10/20/2014,3226.25,3226.25,3226.25,3226.25,,
10/21/2014,3246,3246,3246,3246,,
10/22/2014,3263.5,3263.5,3263.5,3263.5,3263.5,
10/23/2014,3262.25,3262.25,3262.25,3262.25,,
10/24/2014,3225.5,3225.5,3225.5,3225.5,,
10/27/2014,3237.5,3237.5,3237.5,3237.5,,
10/28/2014,3260.75,3260.75,3260.75,3260.75,,
10/29/2014,3291.5,3291.5,3291.5,3291.5,,
10/30/2014,3281.25,3281.25,3281.25,3281.25,,
10/31/2014,3287.25,3287.25,3287.25,3287.25,3287.25,
11/3/2014,3325.25,3325.25,3325.25,3325.25,3325.25,
11/4/2014,3306.25,3306.25,3306.25,3306.25,3306.25,
11/5/2014,3314.25,3314.25,3314.25,3314.25,,
11/6/2014,3333,3333,3333,3333,3333,
11/7/2014,3317.5,3317.5,3317.5,3317.5,,
11/10/2014,3286.25,3286.25,3286.25,3286.25,,
11/11/2014,3292.75,3292.75,3292.75,3292.75,,
11/12/2014,3310.5,3310.5,3310.5,3310.5,3310.5,
11/13/2014,3292.5,3292.5,3292.5,3292.5,3292.5,
11/14/2014,3269,3269,3269,3269,,
11/17/2014,3278.5,3278.5,3278.5,3278.5,,
11/18/2014,3260,3260,3260,3260,,
11/19/2014,3266.75,3266.75,3266.75,3266.75,3266.75,
11/20/2014,3280.75,3280.75,3280.75,3280.75,,
11/21/2014,3292.75,3292.75,3292.75,3292.75,,
11/24/2014,3281,3281,3281,3281,,
11/25/2014,3285.75,3285.75,3285.75,3285.75,3285.75,
11/26/2014,3293,3293,3293,3293,,
11/28/2014,3239,3239,3239,3239,,
12/1/2014,3240.75,3240.75,3240.75,3240.75,,
12/2/2014,3204.75,3204.75,3204.75,3204.75,3204.75,
12/3/2014,3188.25,3188.25,3188.25,3188.25,,
12/4/2014,3214.25,3214.25,3214.25,3214.25,,
12/5/2014,3204,3204,3204,3204,,
12/8/2014,3185,3185,3185,3185,,
12/9/2014,3197.5,3197.5,3197.5,3197.5,,
12/10/2014,3184.5,3184.5,3184.5,3184.5,,
12/11/2014,3173,3173,3173,3173,,
12/12/2014,3163.75,3163.75,3163.75,3163.75,,
12/15/2014,3148,3148,3148,3148,,
12/16/2014,3130,3130,3130,3130,3130,
12/17/2014,3145.75,3145.75,3145.75,3145.75,,
12/18/2014,3133,3133,3133,3133,,
12/19/2014,3132.5,3132.5,3132.5,3132.5,3132.5,
12/22/2014,3110.25,3110.25,3110.25,3110.25,,
12/23/2014,3093.25,3093.25,3093.25,3093.25,,
12/24/2014,3084.25,3084.25,3084.25,3084.25,,
12/26/2014,3087.5,3087.5,3087.5,3087.5,,
12/29/2014,3082.5,3082.5,3082.5,3082.5,,
12/30/2014,3078.75,3078.75,3078.75,3078.75,,
12/31/2014,3078.75,3078.75,3078.75,3078.75,,
1/2/2015,3053.25,3053.25,3053.25,3053.25,,
1/5/2015,3033.5,3033.5,3033.5,3033.5,,
1/6/2015,3016.25,3016.25,3016.25,3016.25,3016.25,
1/7/2015,3030.75,3030.75,3030.75,3030.75,,
1/8/2015,3068.5,3068.5,3068.5,3068.5,,
1/9/2015,3051.75,3051.75,3051.75,3051.75,3051.75,
1/12/2015,3060.25,3060.25,3060.25,3060.25,,
1/13/2015,3050.75,3050.75,3050.75,3050.75,,
1/14/2015,3030.25,3030.25,3030.25,3030.25,,
1/15/2015,3062,3062,3062,3062,,
1/16/2015,3098.25,3098.25,3098.25,3098.25,,
1/20/2015,3095,3095,3095,3095,,
1/21/2015,3116,3116,3116,3116,3116,
1/22/2015,3114.75,3114.75,3114.75,3114.75,3114.75,
1/23/2015,3068,3068,3068,3068,,
1/26/2015,3122.25,3122.25,3122.25,3122.25,,
1/27/2015,3106,3106,3106,3106,3106,
1/28/2015,3099.25,3099.25,3099.25,3099.25,3099.25,
1/29/2015,3067.75,3067.75,3067.75,3067.75,,
1/30/2015,3113.25,3113.25,3113.25,3113.25,,
2/2/2015,3114.25,3114.25,3114.25,3114.25,,
2/3/2015,3127.25,3127.25,3127.25,3127.25,,
