time,open,high,low,close,VWAP,RTH VWAP
2/19/1987,1562.2,1569.7,1560.5,1568.9,,
2/20/1987,1567.2,1575.9,1566.5,1574.9,,
2/23/1987,1572.3,1573.4,1569.4,1570.8,,
2/24/1987,1569.7,1571.6,1567.4,1570.8,,
2/25/1987,1576.2,1577,1570.7,1571.4,,
2/26/1987,1572.2,1575.5,1569.4,1574.7,,
2/27/1987,1574.2,1575.4,1572.5,1573.6,,
3/2/1987,1572.8,1573.6,1571,1571.8,,
3/3/1987,1571.7,1575.5,1571.5,1575.3,,
3/4/1987,1575.2,1579,1573.5,1578.4,,
3/5/1987,1578.7,1580.6,1574.9,1575,,
3/6/1987,1574.7,1575.9,1573.1,1574,,
3/9/1987,1572.7,1574.2,1571.3,1572.7,,
3/10/1987,1572.7,1575.2,1572.1,1574.5,,
3/11/1987,1574.5,1576,1574.2,1574.5,,
3/12/1987,1576,1578,1574.5,1576.1,,
3/13/1987,1576.4,1576.9,1569.2,1571.2,,
3/16/1987,1572.2,1573.9,1572,1572.8,,
3/17/1987,1573.7,1574.2,1569.4,1573,,
3/18/1987,1573,1573.4,1570.5,1572.2,,
3/19/1987,1572.2,1572.5,1570.8,1572.3,,
3/20/1987,1572,1572.9,1571,1572.5,,
3/23/1987,1573.2,1577.4,1573.1,1577,,
3/24/1987,1577.2,1580.7,1574.8,1580.3,,
3/25/1987,1581.2,1582.4,1579,1579.5,,
3/26/1987,1578,1578.7,1577.1,1577.9,,
3/27/1987,1582.2,1590.2,1581.9,1588.9,,
3/30/1987,1589.9,1591.3,1587.2,1587.3,,
3/31/1987,1587.4,1588.6,1583.7,1584.1,,
4/1/1987,1583.9,1586.2,1582.4,1583.9,,
4/2/1987,1584.6,1588,1579.9,1583.6,,
4/3/1987,1584.2,1585.4,1580.2,1585.3,,
4/6/1987,1587.4,1588.6,1582.8,1584,,
4/7/1987,1586.4,1587.9,1583.7,1587.6,,
4/8/1987,1585.4,1588.8,1584.4,1585.5,,
4/9/1987,1586.7,1599.2,1586,1597.9,,
4/10/1987,1599.9,1601.9,1596.2,1598.1,,
4/13/1987,1599.9,1603.3,1599.7,1602.2,,
4/14/1987,1607.2,1617.2,1606.2,1616,,
4/15/1987,1608.9,1610.3,1606.7,1607.9,,
4/16/1987,1608.9,1609.1,1600.9,1608.7,,
4/20/1987,1608.9,1620.1,1606.4,1618.2,,
