time,open,high,low,close,VWAP,RTH VWAP
1970-01-05,30.808,30.808,30.808,30.808,,
1970-01-06,30.784,30.784,30.784,30.784,,
1970-01-07,30.791999999999998,30.791999999999998,30.791999999999998,30.791999999999998,,
1970-01-08,30.798,30.798,30.798,30.798,,
1970-01-09,30.765,30.765,30.765,30.765,,
1970-01-12,30.796,30.796,30.796,30.796,,
1970-01-13,30.802,30.802,30.802,30.802,,
1970-01-14,30.828,30.828,30.828,30.828,,
1970-01-15,30.808999999999997,30.808999999999997,30.808999999999997,30.808999999999997,,
1970-01-16,30.828,30.828,30.828,30.828,,
1970-01-19,30.849999999999998,30.849999999999998,30.849999999999998,30.849999999999998,,
1970-01-20,30.828,30.828,30.828,30.828,,
1970-01-21,30.82,30.82,30.82,30.82,,
1970-01-22,30.84,30.84,30.84,30.84,,
1970-01-23,30.842,30.842,30.842,30.842,,
1970-01-26,30.833,30.833,30.833,30.833,,
1970-01-27,30.805999999999997,30.805999999999997,30.805999999999997,30.805999999999997,,
1970-01-28,30.83,30.83,30.83,30.83,,
1970-01-29,30.820999999999998,30.820999999999998,30.820999999999998,30.820999999999998,,
1970-01-30,30.833,30.833,30.833,30.833,,
1970-02-02,30.82,30.82,30.82,30.82,,
1970-02-03,30.843,30.843,30.843,30.843,,
1970-02-04,30.835,30.835,30.835,30.835,,
1970-02-05,30.84,30.84,30.84,30.84,,
1970-02-06,30.855999999999998,30.855999999999998,30.855999999999998,30.855999999999998,,
1970-02-09,30.849,30.849,30.849,30.849,,
1970-02-10,30.831,30.831,30.831,30.831,,
1970-02-11,30.805,30.805,30.805,30.805,,
1970-02-13,30.826,30.826,30.826,30.826,,
1970-02-16,30.794,30.794,30.794,30.794,,
1970-02-17,30.784,30.784,30.784,30.784,,
1970-02-18,30.807,30.807,30.807,30.807,,
1970-02-19,30.797,30.797,30.797,30.797,,
1970-02-20,30.805,30.805,30.805,30.805,,
1970-02-24,30.791,30.791,30.791,30.791,,
1970-02-25,30.782999999999998,30.782999999999998,30.782999999999998,30.782999999999998,,
1970-02-26,30.813,30.813,30.813,30.813,,
1970-02-27,30.81,30.81,30.81,30.81,,
1970-03-02,30.823,30.823,30.823,30.823,,
1970-03-03,30.831,30.831,30.831,30.831,,
1970-03-04,30.803,30.803,30.803,30.803,,
1970-03-05,30.822,30.822,30.822,30.822,,
1970-03-06,30.808,30.808,30.808,30.808,,
1970-03-09,30.781,30.781,30.781,30.781,,
1970-03-10,30.79,30.79,30.79,30.79,,
1970-03-11,30.78,30.78,30.78,30.78,,
1970-03-12,30.764,30.764,30.764,30.764,,
1970-03-13,30.855,30.855,30.855,30.855,,
1970-03-16,30.76,30.76,30.76,30.76,,
1970-03-17,30.754,30.754,30.754,30.754,,
1970-03-18,30.775,30.775,30.775,30.775,,
1970-03-19,30.768,30.768,30.768,30.768,,
1970-03-20,30.773,30.773,30.773,30.773,,
1970-03-23,30.763,30.763,30.763,30.763,,
1970-03-24,30.771,30.771,30.771,30.771,,
1970-03-25,30.792,30.792,30.792,30.792,,
1970-03-26,30.79,30.79,30.79,30.79,,
1970-03-30,30.788,30.788,30.788,30.788,,
1970-03-31,30.784,30.784,30.784,30.784,,
1970-04-01,30.797,30.797,30.797,30.797,,
1970-04-02,30.789,30.789,30.789,30.789,,
1970-04-03,30.782,30.782,30.782,30.782,,
1970-04-06,30.778,30.778,30.778,30.778,,
1970-04-07,30.766,30.766,30.766,30.766,,
1970-04-08,30.749,30.749,30.749,30.749,,
1970-04-09,30.735,30.735,30.735,30.735,,
1970-04-10,30.739,30.739,30.739,30.739,,
1970-04-13,30.748,30.748,30.748,30.748,,
1970-04-14,30.743,30.743,30.743,30.743,,
1970-04-15,30.736,30.736,30.736,30.736,,
1970-04-16,30.747,30.747,30.747,30.747,,
1970-04-17,30.747,30.747,30.747,30.747,,
1970-04-20,30.751,30.751,30.751,30.751,,
1970-04-21,30.739,30.739,30.739,30.739,,
1970-04-22,30.741,30.741,30.741,30.741,,
1970-04-23,30.738,30.738,30.738,30.738,,
1970-04-24,30.735,30.735,30.735,30.735,,
1970-04-27,30.69,30.69,30.69,30.69,,
1970-04-28,30.603,30.603,30.603,30.603,,
