time,open,high,low,close,VWAP,RTH VWAP
2006-08-02,10836.470000000001,10836.470000000001,10836.470000000001,10836.470000000001,,
2006-08-03,9656.470000000001,9656.470000000001,9656.470000000001,9656.470000000001,,
2006-08-04,10881.470000000001,10881.470000000001,10881.470000000001,10881.470000000001,,
2006-08-07,11281.470000000001,11281.470000000001,11281.470000000001,11281.470000000001,,
2006-08-08,11156.470000000001,11156.470000000001,11156.470000000001,11156.470000000001,,
2006-08-09,11606.470000000001,11606.470000000001,11606.470000000001,11606.470000000001,,
2006-08-11,11831.470000000001,11831.470000000001,11831.470000000001,11831.470000000001,,
2006-08-14,12296.470000000001,12296.470000000001,12296.470000000001,12296.470000000001,,
2006-08-15,12611.470000000001,12611.470000000001,12611.470000000001,12611.470000000001,,
2006-08-16,13716.470000000001,13716.470000000001,13716.470000000001,13716.470000000001,,
2006-08-17,12876.470000000001,12876.470000000001,12876.470000000001,12876.470000000001,,
2006-08-18,13176.470000000001,13176.470000000001,13176.470000000001,13176.470000000001,,
2006-08-21,13321.470000000001,13321.470000000001,13321.470000000001,13321.470000000001,,
2006-08-22,14191.470000000001,14191.470000000001,14191.470000000001,14191.470000000001,,
2006-08-23,13306.470000000001,13306.470000000001,13306.470000000001,13306.470000000001,,
2006-08-24,13771.470000000001,13771.470000000001,13771.470000000001,13771.470000000001,,
2006-08-25,13911.470000000001,13911.470000000001,13911.470000000001,13911.470000000001,,
2006-08-29,13116.470000000001,13116.470000000001,13116.470000000001,13116.470000000001,,
2006-08-30,12527.470000000001,12527.470000000001,12527.470000000001,12527.470000000001,,
2006-08-31,13890.470000000001,13890.470000000001,13890.470000000001,13890.470000000001,,
2006-09-01,13665.470000000001,13665.470000000001,13665.470000000001,13665.470000000001,,
2006-09-04,12956.470000000001,12956.470000000001,12956.470000000001,12956.470000000001,,
2006-09-05,13356.470000000001,13356.470000000001,13356.470000000001,13356.470000000001,,
2006-09-06,13806.470000000001,13806.470000000001,13806.470000000001,13806.470000000001,,
2006-09-07,13896.470000000001,13896.470000000001,13896.470000000001,13896.470000000001,,
2006-09-08,13746.470000000001,13746.470000000001,13746.470000000001,13746.470000000001,,
2006-09-11,13546.470000000001,13546.470000000001,13546.470000000001,13546.470000000001,,
2006-09-12,15011.470000000001,15011.470000000001,15011.470000000001,15011.470000000001,,
2006-09-13,14711.470000000001,14711.470000000001,14711.470000000001,14711.470000000001,,
2006-09-14,13681.470000000001,13681.470000000001,13681.470000000001,13681.470000000001,,
2006-09-15,11466.470000000001,11466.470000000001,11466.470000000001,11466.470000000001,,
2006-09-18,12481.470000000001,12481.470000000001,12481.470000000001,12481.470000000001,,
2006-09-19,13171.470000000001,13171.470000000001,13171.470000000001,13171.470000000001,,
2006-09-20,12796.470000000001,12796.470000000001,12796.470000000001,12796.470000000001,,
2006-09-21,13261.470000000001,13261.470000000001,13261.470000000001,13261.470000000001,,
2006-09-22,13316.470000000001,13316.470000000001,13316.470000000001,13316.470000000001,,
2006-09-25,13556.470000000001,13556.470000000001,13556.470000000001,13556.470000000001,,
2006-09-26,13236.470000000001,13236.470000000001,13236.470000000001,13236.470000000001,,
2006-09-27,13866.470000000001,13866.470000000001,13866.470000000001,13866.470000000001,,
2006-09-29,15081.470000000001,15081.470000000001,15081.470000000001,15081.470000000001,,
2006-10-02,14491.470000000001,14491.470000000001,14491.470000000001,14491.470000000001,,
2006-10-03,14016.470000000001,14016.470000000001,14016.470000000001,14016.470000000001,,
2006-10-04,13451.470000000001,13451.470000000001,13451.470000000001,13451.470000000001,,
2006-10-05,13866.470000000001,13866.470000000001,13866.470000000001,13866.470000000001,,
2006-10-06,13591.470000000001,13591.470000000001,13591.470000000001,13591.470000000001,,
2006-10-09,13266.470000000001,13266.470000000001,13266.470000000001,13266.470000000001,,
2006-10-10,13536.470000000001,13536.470000000001,13536.470000000001,13536.470000000001,,
2006-10-11,13641.470000000001,13641.470000000001,13641.470000000001,13641.470000000001,,
2006-10-12,14316.470000000001,14316.470000000001,14316.470000000001,14316.470000000001,,
2006-10-13,14191.470000000001,14191.470000000001,14191.470000000001,14191.470000000001,,
2006-10-16,15016.470000000001,15016.470000000001,15016.470000000001,15016.470000000001,,
2006-10-17,15516.470000000001,15516.470000000001,15516.470000000001,15516.470000000001,,
2006-10-18,15226.470000000001,15226.470000000001,15226.470000000001,15226.470000000001,,
2006-10-19,15391.470000000001,15391.470000000001,15391.470000000001,15391.470000000001,,
2006-10-20,16516.47,16516.47,16516.47,16516.47,,
2006-10-23,16691.47,16691.47,16691.47,16691.47,,
2006-10-24,16866.47,16866.47,16866.47,16866.47,,
2006-10-25,16591.47,16591.47,16591.47,16591.47,,
2006-10-26,16056.470000000001,16056.470000000001,16056.470000000001,16056.470000000001,,
2006-10-27,16816.47,16816.47,16816.47,16816.47,,
2006-10-30,16516.47,16516.47,16516.47,16516.47,,
2006-10-31,17126.47,17126.47,17126.47,17126.47,,
2006-11-01,17016.47,17016.47,17016.47,17016.47,,
2006-11-02,17891.47,17891.47,17891.47,17891.47,,
2006-11-06,17491.47,17491.47,17491.47,17491.47,,
2006-11-07,18041.47,18041.47,18041.47,18041.47,,
2006-11-08,17041.47,17041.47,17041.47,17041.47,,
2006-11-09,17271.47,17271.47,17271.47,17271.47,,
2006-11-10,16416.47,16416.47,16416.47,16416.47,,
2006-11-13,16756.47,16756.47,16756.47,16756.47,,
2006-11-14,16086.470000000001,16086.470000000001,16086.470000000001,16086.470000000001,,
2006-11-15,16811.47,16811.47,16811.47,16811.47,,
2006-11-16,16481.47,16481.47,16481.47,16481.47,,
2006-11-17,16771.47,16771.47,16771.47,16771.47,,
2006-11-20,17121.47,17121.47,17121.47,17121.47,,
2006-11-21,18141.47,18141.47,18141.47,18141.47,,
2006-11-22,18091.47,18091.47,18091.47,18091.47,,
2006-11-23,19241.47,19241.47,19241.47,19241.47,,
2006-11-24,20341.47,20341.47,20341.47,20341.47,,
2006-11-27,20366.47,20366.47,20366.47,20366.47,,
2006-11-28,20141.47,20141.47,20141.47,20141.47,,
2006-11-29,19866.47,19866.47,19866.47,19866.47,,
2006-11-30,21041.47,21041.47,21041.47,21041.47,,
2006-12-01,20991.47,20991.47,20991.47,20991.47,,
2006-12-04,20791.47,20791.47,20791.47,20791.47,,
2006-12-05,21341.47,21341.47,21341.47,21341.47,,
2006-12-06,21166.47,21166.47,21166.47,21166.47,,
2006-12-07,20616.47,20616.47,20616.47,20616.47,,
2006-12-08,21301.47,21301.47,21301.47,21301.47,,
2006-12-11,20946.47,20946.47,20946.47,20946.47,,
2006-12-12,19871.47,19871.47,19871.47,19871.47,,
2006-12-13,20266.47,20266.47,20266.47,20266.47,,
2006-12-14,21681.47,21681.47,21681.47,21681.47,,
2006-12-15,21216.47,21216.47,21216.47,21216.47,,
